ISBN;Наименование ;Автограф;Заказ;Серия;Авторы;Издательство;Год;Упак.;Стр.;Код;Код ЕАН;Цена;Номенклатура ставка НДС;Переплет;Формат книги;Вес;Тип издания;Категория;Аннотация;Печ ссылка
978-5-4335-1122-4;Пастушка и трубочист;;;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат.";НИГМА;2024;22;32;NF0028100  ;9785433511224;600;10;Переплет;60 х 90 (1/6);0,445;;6+;Эта история рассказывает нам о приключениях фарфоровых статуэток — прелестной пастушки и отважного трубочиста. Много лет они стояли на подзеркальном столике и даже обручились. Но однажды стоявшая рядом с ними статуэтка — фарфоровый китаец, который называл себя дедушкой пастушки, — решил выдать её замуж за безобразного резного Козлонога. Пастушка совсем отчаялась, и тут на помощь ей пришёл храбрый и влюблённый трубочист…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028100,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0939-9;Первый снег;;;вне серии;"Батлер М.К.; Пер. с англ. Д. Налепиной";НИГМА;2021;18;16;NF0020350  ;9785433509399;450;10;Переплет;60 х 90 (1/6);0,36;;0+;Наступила зима — и за одну ночь лес укрыло огромное снежное покрывало. Белочка и Кролик весело играют и резвятся, но Оленёнок встревожен: снег такой холодный и скользкий, и где же ему теперь найти травку на завтрак?.. К счастью, верные друзья всегда рядом! Они помогут малышу понять, что зима — замечательное время для игр и веселья!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0020350,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0834-7;Переводчик с собачьего;;;Попали в переплет;Алексина А.;НИГМА;2022;20;96;NF0021930  ;9785433508347;450;10;Переплет;70 х 100 (1/16);0,37;;6+;"В детстве многие мечтают о щенке. Но часто все мечты разбиваются о строгий взгляд взрослых и их однозначное «нет». А в жизни Андрея всё происходит с точностью до наоборот.
Андрей, главный герой этой замечательной повести, коллекционирует смешные слова, мечтает о космосе и... терпеть не может собак. Уж лучше крокодил, лишь бы в клетке сидел, считает мальчик. И вдруг привычная жизнь идёт кувырком — мама приносит в дом щенка. Что делать?! Андрей так расстроен, что даже космонавтом теперь быть не хочет! А если не космонавтом, то кем? Как понять, какой ты, если и ты сам, и мир вокруг тебя постоянно меняются? И кто поможет разобраться в себе? «Переводчик с собачьего» — это смешные и трогательные истории о взаимопонимании и доверии, о том, как часто мы никак не можем отыскать то, что находится совсем рядом.
Живые и забавные иллюстрации к книге нарисовал Пётр Любаев.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021930,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0902-3;Пес Барклай, Потрясатель Копья. Десять глав из жизни доблестного пса;;;вне серии;Кружков Г.М.;НИГМА;2023;17;56;NF0025403  ;9785433509023;400;10;Переплет;70 х 100 (1/16);0,4;;6+;"В один прекрасный летний день отважный пёс Барклай решил отправиться в путешествие. Встреченный на пути Сом неожиданно вручил ему копьё и присвоил имя — рыцарь Барклай, Потрясатель Копья. Так начались необыкновенные приключения Барклая: его ждут сундук с сокровищами, знакомство с новыми друзьями и сражение с Адской шайкой лесных разбойников,
Книга проиллюстрирована забавными рисунками Юлии Щигал.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0025403,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1015-9;Петр Первый;;;Нигма. Избранное;"Толстой А.Н.; Акимова А.С. (послесловие)";НИГМА;2023;3;816;NF0026061  ;9785433510159;2500;10;Переплет;70 х 100 (1/16);1,87;;16+;"А. Н. Толстой начал писать роман «Пётр Первый» в 1929 году. «Первое десятилетие XVIII века, — отмечал он, — являет собой удивительную картину взрыва творческих сил, энергии, предприимчивости. Трещит и рушится старый мир. Европа, ждавшая совсем не того, в изумлении и страхе глядит на возникающую Россию…» В своей работе Толстой использовал множество разнообразных источников: исследования историков, записки и письма современников Петра — русских и иностранцев, военные донесения и указы того времени, дипломатическую переписку, судебные архивы и литературные памятники эпохи, а кроме этого — фольклорный материал, который ярко и органично вписывается в художественную канву романа, образуя с ней неразрывное целое. 
Роман посвящён переломному периоду в истории России и судьбе первого русского императора и великого реформатора. Он охватывает время от детских лет и юности Петра до начала его преобразовательной деятельности, первых военных походов, побед русской армии над шведами и основания Петербурга и обрывается на взятии русскими войсками Нарвы. Толстой создал обширную галерею живых, запоминающихся образов; с большой художественной силой отобразил безудержную энергию и невероятный размах деятельности Петра, его непримиримую борьбу со старой Русью, олицетворяемой стрелецким мятежом и раскольническим движением; показал, как во внутренней борьбе и войнах за независимость развивалось и крепло русское государство. «Чтобы понять тайну русского народа, его величие, нужно хорошо и глубоко узнать его прошлое: нашу историю, коренные узлы её, трагические творческие эпохи, в которых завязывался русский характер», — утверждал писатель.
Книга проиллюстрирована мастером книжной графики, известным художником Анатолием Зиновьевичем Иткиным.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026061,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0828-6;Пир после Победы;;;Красный каптал;"Астафьев В.П.; Курбатов В.Я. (предисловие)";НИГМА;2020;10;352;NF0016997  ;9785433508286;600;10;Переплет;70 х 90 (1/16);0,7;Сборник;12+;"Виктор Петрович Астафьев много писал о Великой Отечественной войне. Он знал о ней не понаслышке — воевал рядовым на Брянском, Воронежском и Первом Украинском фронтах, в самой гуще боевых действий, — и именно война, по признанию самого Астафьева, стала причиной того, что он взялся за перо. 
В книгу вошли рассказы разных лет: «Солдат и мать», «Ария Каварадосси», «Где-то гремит война», «Пир после Победы», «Жестокие романсы», «Трофейная пушка», «Пролётный гусь» и другие. Все они посвящены одному — мужеству и душевной силе простого солдата, его чувствам и переживаниям. Астафьев мастерски доносит до читателя боль и отчаяние людей, встретившихся лицом к лицу с ужасами беспощадной войны, рассказывает о жизненных перипетиях фронтовиков, вернувшихся домой. Писатель оставил нам в наследство всё, что пережил он сам и его семья, — чтобы те страшные события никогда не были забыты и никогда не повторились…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016997,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1080-7;Письмо;;;вне серии;"Верду И.; Пер. с кат. М. Гойхман";НИГМА;2023;19;32;NF0026550  ;9785433510807;450;10;Переплет;60 х 90 (1/8);0,435;;0+;Однажды ветер нашёл потерянное письмо. Дождь смыл надписи на конверте, так что было непонятно ни кто его написал, ни кому. Но письмо было прекрасное, в нём говорилось: «Ты очень хороший». Так что ветер поднял его высоко-высоко и подул изо всех сил, чтобы письмо само нашло адресата и кто-нибудь бы ему порадовался. Но ветер и представить себе не мог, что письмо прилетит к сеньору Котофею — вечно угрюмому коту, который всё время сидит дома. Всё время? А вдруг слова смогут изменить его жизнь?;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026550,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0903-0;Плавание с Розафиллой. Приключения полярной мухи;;;вне серии;Кружков Г.М.;НИГМА;2022;18;40;NF0021324  ;9785433509030;400;10;Переплет;60 х 90 (1/8);0,42;;6+;Познакомьтесь с Розафиллой — первой в мире полярной мухой! Розафилла случайно попала на борт ледокола «Мурманск», идущего к Северному полюсу, и очень быстро завоевала симпатии всего экипажа. В увлекательном путешествии она поможет капитану проложить нужный курс, починить радиопередатчик и даже… победить пиратов!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021324,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0330-4;Плутония;;;Страна приключений;Обручев В.А.;НИГМА;2023;5;352;NF0024328  ;9785433503304;1300;10;Переплет;84 х 108 (1/16);1,24;;12+;"Русский писатель и учёный Владимир Афанасьевич Обручев в своём романе воссоздаёт картину далёкого прошлого нашей планеты. Герои книги совершают невероятное путешествие в недра Земли, где им придётся преодолеть немало трудностей и опасностей.
Группа отважных исследователей отправляется в экспедицию в арктическую область, где обнаруживает потрясающую подземную страну, названную ими Плутонией и населённую удивительными, давно вымершими на поверхности Земли животными, насекомыми и растениями. Вместе с героями книги читатели встретятся с мамонтами и саблезубыми тиграми, увидят летающих ящеров и исполинских черепах, будут ловить похожих на сказочных эльфов огромных стрекоз и, конечно, познакомятся с древними предками человека.
Иллюстрации известного художника Юрия Богачёва увлекают чи-тателя в загадочный мир Плутонии — мир, где день и ночь светит солнце, живут гигантские муравьи и летают невиданной величины грифы.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0024328,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0864-4;По небу полуночи;;;Красный каптал;"Платонов А.П.; Курбатова В.Я (послесловие)";НИГМА;2021;10;384;NF0018690  ;9785433508644;600;10;Переплет;70 х 90 (1/16);0,735;Сборник;12+;"Художественный мир Андрея Платонова настолько многообразен и глубок, словно создан несколькими авторами, — но на деле все эти самобытные, контрастные произведения отражают разные грани таланта одного художника. 
В сборник вошли повести и рассказы, герои которых, при внешней простоте, отличаются невероятной щедростью души и самоотверженностью. Машинист Пухов отправляется странствовать в поисках истины, желая понять смысл пролетарской революции. Немецкий лётчик Эрих Зуммер, не согласный с фашистской идеологией, спасает испанского мальчика и улетает с ним искать его мать. Юная девушка Ольга, рискуя жизнью, останавливает железнодорожный состав и спасает множество людей. Пожилой моряк Семён Саввин вступает в неравную схватку с фашистами, своей гибелью показав, где та «несокрушимая броня», что защищает Россию… Платонов раскрывает перед читателями самые тонкие и сложные переживания своих героев, позволяя взглянуть на мир с новой, неожиданной стороны.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018690,,1,cover_asis,00000000,)&hide_Cookie=yes
