ISBN;Наименование ;Автограф;Заказ;Серия;Авторы;Издательство;Год;Упак.;Стр.;Код;Код ЕАН;Цена;Номенклатура ставка НДС;Переплет;Формат книги;Вес;Тип издания;Категория;Аннотация;Печ ссылка
978-5-4335-0991-7;Один “напыщенный” день Юры Фрукта и Вовы Овоща;;;Попали в переплет;Беленкова К.А.;НИГМА;2022;11;72;NF0022495  ;9785433509917;520;10;Переплет;70 х 100 (1/16);0,375;;12+;"Юра Фрукт и Вова Овощ живут на одном этаже, но раньше никогда не общались. Но сегодня какой-то совершенно неудачный и во всех отношениях необычный день. Именно сегодня, когда пошёл майский снег, Вова решил уйти из дома, а Юру на целую неделю лишили интернета! Пришлось соседям познакомиться ближе и отправиться на поиски приключений. Вместе они решили найти таинственного Коллекционера интересов. Говорят, он знает, как решить проблему с родителями и интернетом.
Эта ироническая история стала финалистом конкурса «Новая детская книга» в 2018 году.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022495,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0997-9;А бегемота нет! ;;1;вне серии;Тараненко М.В.;НИГМА;2022;19;32;NF0022846  ;9785433509979;450;10;Переплет;60 х 100 (1/8) ;0,4;;0+;"Взрослые целыми днями заняты своими скучными взрослыми делами. А вот был бы у меня бегемот, огромный, зелёный, красивый бегемот, я бы весь день играл с ним, гулял, кормил его и катался бы на нём. Но взрослые приходят домой с работы, и ни у кого из них нет бегемота: ни у мамы, ни у папы, ни у дедушки. Что же делать?
С этой книгой можно играть! Смотри во все глаза – и ты найдёшь бегемота почти на каждой странице. Сможешь их посчитать? Игру придумали писатель Марина Тараненко и художник Юлия Сиднева";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022846,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1148-4;А снег все шел и шел…;;4;вне серии;Русинова Е.А.;НИГМА;2024;19;36;NF0029174;9785433511484;550;10;Переплет;60 х 90 (1/8);0,435;;0+;"А снег всё шёл и шёл… И собачка Бусинка всё никак не могла отыскать дом, где она жила со своим хозяином, с которым только что играла в прятки во дворе. В новом районе все высотки так похожи одна на другую. Как же найти свой дом? Ведь скоро Новый год! На помощь Бусинке приходят новые друзья — обыкновенный рыжий кот и ворона Даша.
Несмотря на снег и мороз, эта история согревает: она рассказывает о поддержке тех, кто не прошёл мимо, и о вере в чудо…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029174,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1070-8;Авантюрный роман. Воспоминания;;;Красный каптал;"Тэффи Н.А.; Эрлихман В.В. (предисловие)";НИГМА;2024;5;320;NF0027638  ;9785433510708;650;10;Переплет;70 х 90 (1/16);0,64;Сборник;16+;"Надежда Александровна Тэффи (Лохвицкая) — блестящая русская писательница, автор атмосферных, полных множества полутонов и нюансов произведений в широкой гамме литературных жанров.
В предлагаемый сборник вошли «Авантюрный роман» и «Воспоминания» писательницы. В «Авантюрном романе» Тэффи с присущим ей вкусом и глубокой психологической достоверностью представляет читателю историю любовных отношений между главной героиней — Наташей, манекенщицей модного дома «Манель» в Париже, и странным молодым человеком, который то появляется в её жизни, то исчезает. Одну из изюминок произведения составило удивительно точное и безжалостное описание нравов эмигрантской среды. «Воспоминания» посвящены прощанию писательницы с родиной. Пёстрый, как лоскутное одеяло, сотканный из тонких наблюдений рассказ о вынужденном путешествии из Москвы в Киев и Одессу, а затем — в Париж во время Гражданской войны раскрывает перед нами печальные страницы российской истории.
";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027638,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1075-3;Автомобильчик;;5;вне серии;Левданская Ю.Н.;НИГМА;2024;20;40;NF0029192;9785433510753;600;10;Переплет;60 х 90 (1/6);0,5;;0+;Старый Автомобильчик давно стоял во дворе без дела, хозяин про него совсем забыл. Автомобильчик скучал, но очень надеялся, что когда-нибудь снова сможет стать полезным. И однажды он всё-таки решил отправиться в путешествие. Автомобильчик долго колесил по городу, встретил множество разных машин и даже познакомился с большими кораблями! Однако новые автомобили только посмеивались над ним. Мечта найти себе дело таяла с каждым часом, но неожиданно Автомобильчик заметил большой старомодный Автобус…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029192,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0115-7;Азбука вежливости;;;вне серии;Васильева-Гангнус Л.П.;НИГМА;2024;11;184;NF0028456  ;9785433501157;800;10;Переплет;70 х 100 (1/16);0,65;;0+;"Когда-то много-много лет назад добрая сказочница Людмила Васильева-Гангнус познакомилась с феей Здрасте, которая жила в сказочном городе. Дома там были сложены из шоколада, крыши были леденцовыми, а оконные ставни из кренделей. А самое главное – в этом городе жили сказочно вежливые люди. Но вот беда: иногда достаточно вмешательства одного невежливого капризного мальчика, чтобы всё пошло прахом.
Книге «Азбука вежливости» уже более 30 лет. Опытные педагоги и воспитатели утверждают, что она и до сегодняшнего дня не потеряла своей актуальности. В игровой форме, путешествуя по сказочному городу и попадая в переделки с забавными героями этой книги, ребёнок постигает основы социальной адаптации, этикета и навыки общения.
Забавные иллюстрации выполнены замечательным художником Сергеем Александровичем Алимовым.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028456,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0963-4;Азот и Селедочкина. П.Ушкин и пиксели;;;Всякое такое;Ая эН;НИГМА;2022;16;192;NF0022173  ;9785433509634;500;10;Обложка;60 х 90 (1/16);0,37;;12+;"Две фантастических истории о жизни и школе, о первой любви и первых разочарованиях. Школьники изучают химию и жизнь не только по учебникам. На этих фантастических уроках сбываются мечты, оживают пиксели и элементы периодической таблицы.
Ая Эн – физик и лирик в одном лице. Финалист и лауреат нескольких литературных
конкурсов. Создатель фантастических вселенных и, пожалуй, самый весёлый
современный подростковый автор. Повесть «Азот и Селёдочкина» вышла в финал Всероссийского конкурса на лучшее произведение для детей и подростков «Книгуру».";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022173,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1074-6;Алена на чердаке;;;Всякое такое;"Лукас О.; Ил. К.О. Зобниной";НИГМА;2024;12;224;NF0027284  ;9785433510746;500;10;Обложка;60 х 90 (1/16);0,425;;12+;"Первого апреля — день дурака, а второго — день рождения у Есении (да, с именем тоже «повезло»). Тринадцать лет, а это значит, что детство позади, надо праздновать по-взрослому. Поездка на дачу (без родителей), тематическая вечеринка (в викторианском стиле) и увлекательная ролевая игра в детектив — вот что ждёт Есению и её приятельниц. Однако именинница волнуется — вдруг что-то пойдёт не так? И не зря она тревожилась. Кажется, в разгар праздника происходит не игровое, а настоящее преступление! Причём мотив есть у каждой из девочек, приглашённых на вечеринку: ревность, месть, корысть… Все подозревают всех, никто не чувствует себя в безопасности. Но кто же затеял эту опасную игру — и ради чего?
Ольга Лукас — прозаик, журналист, блогер, автор сказок и повестей для детей и взрослых, лауреат литературной премии им. М. Е. Салтыкова-Щедрина (2012).";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027284,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0685-5;Алло, говорит рыбка;;;вне серии;"Веккини С.; Пер. с итал. А. Поляковой";НИГМА;2019;20;40;NF0012015 ;9785433506855;350;10;Переплет;60 х 90 (1/6);0,48;;6+;Что делать, если твой одноклассник всё время молчит и ни с кем не общается? Возможно, он слишком застенчивый… Как же ему помочь? Так одна девочка в классе находит весьма необычное решение…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0012015,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0633-6;Алмаз Раджи;;;Страна приключений;"Стивенсон Р.Л.; Пер. с англ. Т. Литвиновой, Е. Лопырёвой";НИГМА;2021;8;200;NF0018586  ;9785433506336;950;10;Переплет;84 х 108 (1/16);0,74;;12+;"Книга объединяет два самых известных цикла произведений Роберта Льюиса Стивенсона, повествующих об авантюрных похождениях эксцентричного принца Богемского Флоризеля.
Блистательный Флоризель и его верный помощник полковник Джеральдин отправляются на рискованную прогулку по вечернему Лондону, чтобы развеять скуку. Жажда острых ощущений приводит друзей в «Клуб самоубийц», где главная ставка — жизнь, а в руках принца оказывается загадочный Алмаз Раджи — за роковой драгоценностью тянется шлейф из поломанных судеб множества людей, стремившихся ею обладать. Впереди героев ждут дуэли, убийства, похищения и опасные встречи — но непоколебимая храбрость принца и преданность его наперсника помогут им выбраться из самых рискованных приключений.
Иллюстрации к книге созданы талантливой художницей Анной Хопта.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018586,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0837-8;Аня и Даня не идут в школу;;;вне серии;Добросовестная О.Г.;НИГМА;2022;19;40;NF0023478  ;9785433508378;470;10;Переплет;60 х 90 (1/8);0,425;;6+;"Аня и Даня — непоседы-двойняшки. Эта осень должна стать для них особенной, ведь ребята пойдут в первый класс! 
Но однажды происходит кое-что невероятное: Даня случайно оживляет динозаврика из игры, которую разрабатывает папа-программист. Динозаврик оказывается очень милым и на редкость смышлёным. Аня с Даней решают сами обучить способного малыша всем наукам, а тут уж им будет не до школы! Ребята принимаются за дело, но их питомец учится подозрительно быстро и того гляди обгонит своих «учителей»…
Забавная история проиллюстрирована яркими и озорными рисунками Ирины Августинович.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0023478,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0875-0;Аня, Даня и Новый год на весь год;;;вне серии;Добросовестная О.Г.;НИГМА;2022;19;40;NF0022191  ;9785433508750;470;10;Переплет;60 х 90 (1/8);0,435;;6+;"У непосед-двойняшек Ани и Дани начались долгожданные зимние каникулы. Как жаль, что Новый год всего раз в году! Но что если праздновать его… каждый день? Ух, сколько тогда подарков можно будет получить от Деда Мороза! Попросить у него и 3D-ручку, и кучу кукол Барби, и платье для мамы… А ещё — каждый день есть бабушкины тортики и салат оливье. Вся семья включается в необычный эксперимент, но очень скоро Аня и Даня понимают, что всё идёт не так, как ожидалось…
Книга проиллюстрирована забавными и красочными рисунками Ирины Августинович.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022191,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1137-8;Аппетитная история;;1;вне серии;Павленко Т.;НИГМА;2024;19;28;NF0029177;9785433511378;550;10;Переплет;60 х 90 (1/8);0,385;;0+;На кухне в большой миске подходит тесто. Оно лежит там уже довольно долго и успело проголодаться — а вокруг столько всего вкусного: капуста, творог, сосиски и даже джем. Но у бабушки есть свой план, да и внуки скоро вернутся с прогулки!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029177,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0990-0;АПС;;;Всякое такое;Свиридов Я.А.;НИГМА;2023;22;128;NF0024282  ;9785433509900;450;10;Обложка;60 х 90 (1/16);0,2;;12+;"В школе переполох. Учитель Виктор Геннадьевич принёс на урок не спортивный кубок, не артиллерийский снаряд и даже не термос с чаем. Он принёс Капсулу времени! Никто толком не знает, для чего она нужна. Но необходимо написать письмо потомкам. С этого дня все ученики 6 «Д» оказываются втянуты в непредсказуемые события. Хотя как мирно всё начиналось…
Редактор, журналист, драматург и писатель Ярослав Свиридов знает, как рассказать смешно о серьёзном. Его герои – обыкновенные школьники в необыкновенных ситуациях. Но на их месте мог оказаться каждый из нас.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0024282,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0862-0;Арбузная голова. Сказка из городского парка;;;вне серии;Сафронова О.В.;НИГМА;2021;20;40;NF0018835  ;9785433508620;370;10;Переплет;60 х 90 (1/8);0,395;;0+;"Каждое утро сеньор Т. надевал шляпу и шёл читать в парк. Он никогда не смотрел по сторонам и тем более ни с кем не хотел общаться.
И так продолжалось бы очень долго, но однажды утром сеньор Т. не смог надеть шляпу. Он потрогал голову и не нашёл волос. Лысина была гладкой и твёрдой. Слишком... Посмотрев на себя в зеркало, сеньор Т. увидел в нём арбуз вместо головы! На секунду сеньор Т. даже возгордился, что именно с ним произошло такое событие. Но как же теперь быть, если у него на плечах будет жить арбуз своей арбузной жизнью? И к кому обратиться за помощью? Ведь сеньор Т. больше не мог говорить…
Книга проиллюстрирована лёгкими и прозрачными рисунками Екатерины Сафро.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018835,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0316-8;Асканио;;;вне серии;"Дюма А.; Пер. с фр.";НИГМА;2016;6;608;Q0129765;9785433503168;800;10;Переплет;84 х 108 (1/16);1,42;;12+;Асканио - один из самых увлекательных исторических романов Александра Дюма. Замысел этого произведения появился у писателя  после того, как к нему попали мемуары Бенвенуто Челлини, величайшего итальянского скульптора, ювелира и  живописца эпохи Ренессанса. Молодой  юноша по имени Асканио влюблён в очаровательную девушку Коломбу, дочь богатого вельможи. Но, к несчастью, в него самого неистово влюбляется  фаворитка короля герцогиня д' Этамп и ради своей любви она готова пойти на всё, и даже на предательство. На помощь молодым влюблённым приходит прославленный художник и талантливый мастер Челлини. Он готов пожертвовать своей жизнью ради счастья своего ученика и прекрасной Коломбы. Его благородное сердце, необычайный талант и твёрдая рука противостоят коварству и хитрости влиятельных интриганов. Уникальные иллюстрации Анатолия Зиновьевича Иткина буквально сливаются с сюжетом замечательного романа и блестяще передают атмосферу событий, происходящих во Франции во времена правления Франциска I.;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,Q0129765,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0894-1;Барсучок и большая буря;;;вне серии;"Чью С.; Пер. с англ. Д. Налепиной";НИГМА;2021;16;24;NF0019796  ;9785433508941;360;10;Переплет;60 х 90 (1/6);0,44;;0+;Добрый и находчивый Барсучок дружит со всеми зверятами в своём лесу. Что бы ни случилось, он всегда придёт на помощь! В этот раз на лес надвигается настоящая буря, и маленькие обитатели встревожены: что, если от сильного ветра пострадают их гнёзда, норки и грядки? К счастью, умелый Барсучок знает, как защитить дома и посадки, и с радостью научит этому друзей. Но успеет ли он сам спрятаться от грозы и укрепить свой домик?..;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019796,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0897-2;Барсучок и большая засуха;;;вне серии;"Чью С.; Пер. с англ. Д. Налепиной";НИГМА;2021;16;24;NF0019797  ;9785433508972;360;10;Переплет;60 х 90 (1/6);0,44;;0+;В лесу, где живёт Барсучок со своими друзьями, уже несколько недель стоит жара. Зверята с удовольствием играют на свежем воздухе и плещутся в бассейне. Но однажды утром они замечают, что в ручье закончилась вода. И не только в ручье — пруд, где живут лягушки, совсем пересох! Как же теперь поливать цветы и стирать, а главное, где взять питьевую воду?.. Не теряя времени, друзья отправляются в непростое путешествие, чтобы вернуть воду лесу и помочь его жителям…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019797,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0895-8;Барсучок и большая птица;;2;вне серии;"Чью С.; Пер. с англ. Д. Налепиной";НИГМА;2021;16;24;NF0019799  ;9785433508958;360;10;Переплет;60 х 90 (1/6);0,44;;0+;Каждый житель леса знает доброго и отзывчивого Барсучка. Он всегда придёт на помощь и поможет в трудную минуту. Сегодня в беду попали маленькие ласточки: они летели зимовать на юг, но одна из них повредила крыло… К счастью, Барсучок готов приютить путешественниц до весны! Новые друзья замечательно проводят время вместе, ласточка поправляется и теперь можно снова отправиться в путь. Но получится ли у них догнать свою стаю? И у Барсучка снова есть смелый план…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019799,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0896-5;Барсучок и большой шар;;1;вне серии;"Чью С.; Пер. с англ. Д. Налепиной";НИГМА;2021;16;24;NF0019798  ;9785433508965;360;10;Переплет;60 х 90 (1/6);0,44;;0+;Барсучок и его друзья живут в лесу, и здесь всё время происходит что-то интересное. Сегодня день начался с необычных находок: зверята обнаружили в лесу сначала верёвку, затем большую плетёную корзину и, наконец, огромный кусок яркой ткани. Откуда же взялись эти вещи? Можно ли забрать их себе, чтобы использовать в хозяйстве, или у них есть владелец? Друзья узнают это очень скоро — а ещё поймут, что кое-кому очень нужна их помощь…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019798,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0628-2;Басни для соловья. 25 пар французских и русских пословиц и поговорок;;;Слово за слово;Пер. с франц. и предисл. М.Д. Яснова;НИГМА;2018;15;48;NF0008990 ;9785433506282;500;10;Переплет;60 х 90 (1/6);0,52;Сборник;0+;"Пословицы и поговорки играют в нашей жизни важную роль. Многие используют их и в письме и в разговорной речи, чтобы выразить свою мысль кратко, доходчиво и образно.
А знаете ли вы, что многие крылатые выражения пришли к нам из французского языка? Как-никак, французский долгое время был очень популярен в России. Переводчик и поэт Михаил Давидович Яснов собрал в этой книге 25 пар забавных пословиц и поговорок. 
Хотите узнать больше французских выражений и расширить свой кругозор? Тогда скорее начинайте читать! Ведь, как говорится в одной пословице, — «Книга крылья даёт».
Книга проиллюстрирована весёлыми и смешными рисунками Натальи Карповой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0008990,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0792-0;Белая перчатка;;;Страна приключений;"Рид Т.М.; Пер. с англ. М.П. Богословской";НИГМА;2020;8;368;NF0016696  ;9785433507920;900;10;Переплет;84 х 108 (1/16);1,2;;12+;"Английский писатель Томас Майн Рид — признанный классик приключенческой литературы, на его книгах выросло уже несколько поколений читателей. Роман «Белая перчатка» переносит нас в XVII век, в канун Английской буржуазной революции.
В тихом провинциальном Бэкингемшире кипят бурные страсти. Сторонники парламента собираются по ночам в тавернах и старых усадьбах, готовя заговор против короля-тирана, а в поместье Бэлстрод-парк прибывает отряд королевских кирасиров. Капитан кирасиров Ричард Скэрти и таинственный Генри Голтспер по прозвищу Чёрный Всадник становятся соперниками не только в политике, но и в борьбе за сердце прекрасной Марион Уэд, — а когда в дело вмешивается красавица Бет Дэнси, дочь лесника, события приобретают и вовсе неожиданный оборот... Интриги и тайны, ревность и любовь, верность и предательство — всё это в избытке найдётся на страницах романа.
Книга проиллюстрирована красочными работами Анны Хопта.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016696,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1104-0;Белка и Стрелка. Космическая история;;3;;Тараненко М.В.;НИГМА;2024;20;32;NF0028001  ;9785433511040;550;10;Переплет;60 х 90 (1/8);0,4;;;В собачьем приюте, где живут Белка и Стрелка, очень строгие правила. Каждая собака знает: если она будет задиристой, у неё никогда не появится хозяин. Но разве можно спокойно смотреть, как большой пёс отбирает еду у маленьких и слабых? Вот Белка и решила вмешаться! И надо же — именно в этот момент приехали незнакомые люди, чтобы отобрать собак для какой-то важной миссии… Смелая Белка понравилась им, и её вместе с тихой Стрелкой повезли в новый дом, навстречу невероятным приключениям!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028001,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0476-9;Белый Клык;;;Страна приключений;"Лондон Дж.; Пер. с англ. Н.А. Волжиной";НИГМА;2022;7;224;NF0022862  ;9785433504769;1200;10;Переплет;84 х 108 (1/16);0,82;;12+;"«Белый Клык» — одно из самых известных произведений выдающегося американского писателя Джека Лондона. Книга переносит читателя на дикий суровый Север, где царят холод и вечное безмолвие, где есть места, куда не ступала нога человека.
Главный герой этой захватывающей повести — волк-собака, родившийся на Аляске. Как-то раз по дороге к ручью волчонок впервые встретился с человеком — тот дал щенку кличку Белый Клык и заставил подчиняться себе беспрекословно. Приручённому волку довелось пройти суровую школу жизни — он на себе испытал коварство и жестокость людей, вражду и ненависть собак. Но однажды человек спас волка от смерти, подарив ему свою доброту и ласку. Сможет ли Белый Клык снова поверить человеку и принять его любовь?
Книга проиллюстрирована современным художником Петром Любаевым.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022862,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0865-1;Бельведерский торс. Повести и рассказы;;;Красный каптал;Алданов М.А.;НИГМА;2021;12;328;NF0018948  ;9785433508651;600;10;Переплет;70 х 90 (1/16);0,635;Сборник;16+;"В исторических очерках Марка Алданова жизнь деятелей политики, науки и искусства, оказавших большое влияние на развитие Европы и России, освещается зачастую с неожиданной стороны. Эти выдающиеся личности не всегда выступают на переднем плане — порой они проходят за кулисами основного действия, отдавая главную роль в повествовании простым и на первый взгляд малозначащим персонажам. Глубокое знание истории, философский склад ума и наблюдательность позволили Алданову глубоко проникнуть в жизнь людей, как действительно существовавших, так и созданных воображением писателя.
В сборник вошли повести и рассказы разных лет. Из Италии XVI века, где ещё жил и творил великий Микеланджело, и России XVIII века — времён короткого царствования Петра III — читатель переносится в грозный XX век, чтобы познакомиться с французским движением Сопротивления, стать свидетелем последних дней жизни Муссолини и в полной мере прочувствовать напряжение, царившее в мире в ходе Суэцкого кризиса 1955 года. Алданов показывает, как влияют друг на друга судьбы простых, казалось бы, никак не связанных между собой людей, мастерски раскрывая через чувства и переживания персонажей всю глубину и значимость окружающих их событий.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0018948,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0752-4;Беспокойный сосед;;;вне серии;"Келли Дж.; Пер. с англ. Д.А. Налепиной";НИГМА;2019;20;48;NF0014514  ;9785433507524;350;10;Переплет;84 х 108 (1/16);0,42;;0+;Поросёнок живёт один на высоком холме. Ему нравится печь пироги, читать книжки и собирать пазлы. А больше всего на свете он любит свой уютный дом и чудесный вид из окна. Точнее... ЛЮБИЛ. До тех пор, пока на соседнем холме не поселился этот шумный, навязчивый Гусь! Его послушать — так он везде побывал и всё повидал, даже те места, о которых Поросёнок только в книжках читал. Он просто ужасный сосед! Но без него немного… как бы сказать… даже странно, но БЕЗ НЕГО скучно!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0014514,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0780-7;Большой сюрприз для маленького медвежонка;;;вне серии;"Крото М-Д.; Пер. с фр. Д.А. Налепиной";НИГМА;2020;20;28;NF0015311  ;9785433507807;350;10;Переплет;60 х 90 (1/6);0,41;;0+;Белый Медвежонок и Пингвинёнок — лучшие друзья. Они любят вместе играть и веселиться. Но однажды перепуганный Пингвинёнок прибежал к Медвежонку рассказать об огромной красно-белой птице, приземлившейся на льду. Он никогда в жизни такой не встречал! Друзья решают подойти поближе к птице, чтобы рассмотреть её как следует, и ещё не подозревают, какое удивительное открытие их ждёт…;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0015311,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0781-4;Большой сюрприз для маленького пингвиненка;;;вне серии;"Крото М-Д.; Пер. с фр. Д.А. Налепиной";НИГМА;2020;20;28;NF0015312  ;9785433507814;350;10;Переплет;60 х 90 (1/6);0,41;;0+;"Герои этой книги — Белый Медвежонок и маленький Пингвинёнок. Они вместе пережидали шторм в снежной пещере и крепко подружились, а теперь вместе играют и с любопытством исследуют мир вокруг.
Что за большое красное чудовище появилось в море? Почему у него на спине сидят необычные маленькие существа? И откуда взялся загадочный красный шар? На эти и другие вопросы друзья постараются найти ответ…";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0015312,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0358-8;Бояка мухи не обидит;;;вне серии;Макеев С.Л.;НИГМА;2016;14;56;NF0000478;9785433503588;350;10;Переплет;60 х 90 (1/8);0,53;;0+;"Перед вами добрая и весёлая сказка об удивительных приключениях кролика по имени Бояка. Маленький кролик боялся всего на свете. Наверное, поэтому его так и звали – Бояка. Впрочем, с каждого понедельника у Бояки начиналась Новая жизнь. И Бояка всегда выбирал, кем он будет в Новой жизни: Забиякой или Бякой, Воякой или Бодякой, или просто смелым, находчивым и отважным кроликом. 
Прочитав эту замечательную книгу с чудесными рисунками Юлии Николаевны Устиновой,  вы узнаете, какие ещё приключения случились с Боякой, с какими зверями он подружился и чему научился у них. ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0000478,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0996-2;Буду скучать!;;2;вне серии;"Вандаэль А.; Пер. с нидерлан.; Ил. К. Вестерманн";НИГМА;2022;21;24;NF0023225  ;9785433509962;450;10;Переплет;60 х 90 (1/8);0,405;;0+;"Вот и настал последний день учёбы. Все зверята счастливы и ждут каникул. И только Малыш Бобёр грустит – он не хочет прощаться. К счастью, любимая учительница знает, как его развеселить.
Трогательная и добрая история о завершении учебного года, расставании и надежде.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0023225,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0908-5;Будь как дерево!;;;вне серии;"Джанферрари М.; Пер. с англ. Д. Налепиной";НИГМА;2021;16;48;NF0019827  ;9785433509085;650;10;Переплет;60 х 90 (1/8);0,5;;6+;"Представь, что ты — дерево. Позвоночник — как ствол, он поддерживает тебя и позволяет расти. Руки, словно ветви, тянутся к солнцу. Дерево — живое, как и ты: оно растёт и развивается, нуждается в свете и питании… а ещё оно не может существовать отдельно от других. Поодиночке деревья уязвимы, но в лесу могут поддерживать друг друга — делиться ресурсами, давать питание и тень, предупреждать об опасности и даже общаться.
Из этой завораживающей книги юный читатель узнает о важности сообщества, дружбы и взаимной поддержки в жизни деревьев и людей — и о том, чем он сам может помочь другим.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0019827,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0886-6;Бузинная матушка;;;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат.";НИГМА;2022;14;48;NF0021255  ;9785433508866;600;10;Переплет;60 х 90 (1/6);0,52;;6+;"Сказка Г. Х. Андерсена «Бузинная матушка» — удивительная история о доброте и сострадании, верности и волшебной силе любви.
Однажды к заболевшему маленькому мальчику пришёл весёлый старичок и рассказал сказку о старушке-волшебнице — Бузинной матушке, которая прорастала из чайника с бузиной. Но мальчик не поверил в сказку, решив, что это обычная история. Однако Бузинная матушка поведала ему, что из «действительности-то и вырастают чудеснейшие сказки. Иначе бы её благоухающий куст не вырос бы из чайника». С этими словами она подхватила мальчика и отправилась вместе с ним в необычное путешествие… 
Оригинальные рисунки Анны Хопта украшают эту сказочную историю, полную тёплых воспоминаний людей, проживших долгую жизнь в любви и согласии.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021255,,1,cover_asis,00000000,)&hide_Cookie=yes
